ID,TOKEN,LEMMA,SENTENCE,VERB SEMANTICS,language,PoS
9.145.31622_Aesch.PV.,εἰσιδούσᾳ,εἰσοράω,ἐμοῖσιν ὄσσοις ὀμίχλα προσῇξε πλήρης δακρύων σὸν δέμας εἰσιδούσᾳ πέτραις προσαυαινόμενον ταῖσδʼ ἀδαμαντοδέτοισι λύμαις. νέοι γὰρ,02134989-v perceive with attention; direct one's gaze towards; look,Ancient Greek,verb
Y.15.8.36_Plut.Lyc.,ἐνεώρα,ἐνοράω,ἔπειτα πολλὴν ἀβελτερίαν καὶ τῦφον ἐνεώρα τοῖς περὶ ταῦτα τῶν ἄλλων νομοθετήμασιν,00592510-v perceive (an idea or situation) mentally,Ancient Greek,verb
5.835.137544_Aesch.Ag.,εἰσορῶν,εἰσοράω,"τʼ αὐτὸς αὑτοῦ πήμασιν βαρύνεται καὶ τὸν θυραῖον ὄλβον εἰσορῶν στένει. εἰδὼς λέγοιμʼ ἄν, εὖ γὰρ ἐξεπίσταμαι ὁμιλίας κά",00592510-v perceive (an idea or situation) mentally,Ancient Greek,verb
159.1155.234169_Eur.Med.,ἐσεῖδε,εἰσοράω,"ἀφεῖναι παισὶ τοῖσδʼ ἐμὴν χάριν; ἡ δʼ, ὡς ἐσεῖδε κόσμον, οὐκ ἠνέσχετο, ἀλλʼ ᾔνεσʼ ἀνδρὶ πάντα, καὶ π",02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
173.1.214.1.974439_Hdt.,ἐσήκουσε,εἰσακούω,"τρόπῳ τοιούτῳ τελευτᾷ · Τόμυρις δέ, ὥς οἱ Κῦρος οὐκ ἐσήκουσε, συλλέξασα πᾶσαν τὴν ἑωυτῆς δύναμιν συνέβαλε Κύρῳ. ταύτην",02577816-v pay close attention to; give heed to,Ancient Greek,verb
140.11.56.6.822107_Diod.Sic.,ὑπήκουσε,ὑπακούω,"γεγενημένας πράξεις, μετὰ δὲ ταῦτα μαθὼν τὸ συμφέρον ὑπήκουσε, καὶ παραδόξως καὶ ἀσφαλῶς αὐτὸν διέσωσεν εἰς τὴν Π",00879879-v yield to another's wish or opinion,Ancient Greek,verb
139.2.32.3.334560_Sen.Ira.,exaudit,exaudio,"et nobilis, qui more magnae ferae latratus minutorum canum securus exaudit. "" Minus,"" inquit, "" contemnemur, si vindicaverimus iniuriam."" Si",02174146-v perceive (sound) via the auditory sense,Latin,verb
258.2.43.351342_Luc.VH.,περιβλέποντες,περιβλέπω,καὶ παράδοξον · εἱστήκει γὰρ τὸ ὕδωρ ὥσπερ μεμερισμένον · περιβλέποντες δὲ ὁρῶμεν κατὰ δεξιὰ οὐ πάνυ πόρρωθεν γέφυραν ἐ,02136885-v look about oneself,Ancient Greek,verb
9.940.179306_Aesch.PV.,εἰσορῶ,εἰσοράω,"χρόνον, ὅπως θέλει · δαρὸν γὰρ οὐκ ἄρξει θεοῖς. ἀλλʼ εἰσορῶ γὰρ τόνδε τὸν Διὸς τρόχιν, τὸν τοῦ τυράννου τοῦ νέο",02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
139.2.35.5.356438_Sen.Ira.,invisior,invideo,"ardentia, sibilo mugituque et gemitu et stridore et si qua his invisior vox est perstrepentem, tela manu utraque quatientem ( neque enim illi se",01778057-v dislike intensely; feel antipathy or aversion towards,Latin,verb
