ID,TOKEN,LEMMA,SENTENCE,VERB SEMANTICS,language,PoS
POE2_SANN_ARCAD_1,conviemmi,convenire,"traditor dal gregge tolsemi ; sì signoreggia al mondo l' avarizia ! Io gliel direi ; ma chi mel disse , volsemi legar per giuramento , ond ' esser mutolo conviemmi ; e pensa tu , se questo dolsemi ! Del furto si vantò , poi ch' ebbe avutolo ; ché sputando tre volte fu invisibile agli occhi nostri ; ond",02674167-v be appropriate or necessary,Italian,verb
LET2_MACH_PRINC_1,conviene,convenire,"potendo quelli tirarsi dreto e ' populi per le ragioni assegnate . Onde a chi assalta el Turco è necessario pensare di averlo a trovare tutto unito , e gli conviene sperare più nelle forze proprie che ne' ' disordini di altri . Ma vinto ch' e ' fussi , e rotto alla campagna in modo che non possa rifare eserciti",02674167-v be appropriate or necessary,Italian,verb
TEA2_LARIO_NEGR_1,accorre,accorrere,"morto lo abbia un ribaldo , il qual l' attendea al volgere del canto . \ Ahimè ! \ Dietro il capo gravissimo è il colpo : ognun v ' accorre . \ Ah ! per Dio , insegnami dov ' egli è . \ Va diritto fino al volgere di questo canto ; indi a man manca piegati e corri",02062918-v move hurridly,Italian,verb
LET1_LAT_RETTOR_1,proviene,provenire,comuni e a ' divisi . Onde Tulio purgando questi tre gravi articoli procede in questo modo : Che in prima dice che sovente e molto àe pensato che effetto proviene d ' eloquenzia . Nella seconda parte pruova lo bene e 'l male che 'nde venia e qual più . Nella terza parte dice tre cose : in prima dice,02631097-v happen or occur as a result of something,Italian,verb
TEA4_GOL_TEAT00_1,sovviene,sovvenire,"ella la signora Eleonora ? \ Sì signore per l' appunto . \ Non si ricorda , che ha recitato in un mio dramma ? \ Dove ? Non mi sovviene . \ A Firenze . \ Il dramma com ' era intitolato ? \ La Didone in bernesco . \ Sì , signore , è vero . Io faceva la",00725311-v come to one's mind; suggest itself,Italian,verb
POE1_ANGIO_RIME_1,convene,convenire,"persona gelosia . Se mi degnasse volerm ' a servente , anche non mi si faccia tanto bene , promettile per me sicuramente che ciò ch' a la gentile si convene io 'l farò di bon cor , sì lealmente ch' ella averà pietà de le mie pene . \ Il cuore in corpo mi sento tremare , sì fort '",02705783-v accord or comport with,Italian,verb
LET1_ALIG_CONVI_1,convegnono,convenire,"si priega , non intendo qui ragionare , perché sufficientemente si ragionerà nell ' ultimo trattato di questo libro . \ Da tutte le tre sopra notate condizioni , che convegnono concorrere acciò che sia nel beneficio la pronta liberalitade , era lo comento latino lontano , e lo volgare è con quelle , sì come si può manifestamente così contare",02674167-v be appropriate or necessary,Italian,verb
LET4_DAZ_ETTO00_1,convenne,convenire,"; e l' altro , a non essersi cacciato a correre , avrebbe avuto di peggio , che già colui aveva posto mano alla spada . Dopo molto tempestare gli convenne partirsi scornato . Franciotto avea notato fra quegli armati uno in cappa e mantello alla curiale , ed al lume di certi torchi che avean con loro , riconosciutolo per",02674167-v be appropriate or necessary,Italian,verb
POE2_LOMED_NBUA_1,convien,convenire,"se ' che 'l fior della farina . Ell ' ha du ' occhi tanto rubacuori , che  lla trafiggere ' con essi un muro ; chiunche la vede convien che 'nnamori , e  ll ' ha il suo core più c ' un ciottol duro , et sempre ha seco un migliaio d ' amadori che da quegli",02674167-v be appropriate or necessary,Italian,verb
LET1_BOCC_DECA3_1,pervenni,pervenire,"nelle sacca : da ' quali alle montagne de' ' Bachi pervenni , dove tutte l' acque corrono alla 'ngiù . E in brieve tanto andai adentro , che io pervenni mei infino in India Pastinaca , là dove io vi giuro per l' abito che io porto addosso che io vidi volare i pennati , cosa incredibile a chi non",02009962-v reach a destination; arrive by movement or progress,Italian,verb
LET2_MACH_BELAR_1,convenne,convenire,"pace con lei , aiutare al suocero maritare l' altre sue figliuole : dove spese grossa somma di danari . Dopo questo , volendo avere bene con quella , gli convenne mandare uno de' ' frategli in Levante con panni , un altro in Ponemte con drappi , all ' altro aprire uno battiloro in Firenze : nelle quali cose dispensò",02674167-v be appropriate or necessary,Italian,verb
LET3_MAR_DICE00_1,soviemmi,sovvenire," amata : pone me ut signaculum super cor tuum . Bella certo ( se debbo creder a chi ne scrive ) fu la origine della pittura , di cui soviemmi aver letto che l' inventore fu Amore ; percioché licenziandosi dalla sua donna un amante , nell ' ultima notte de' ' suoi trastulli , per andar lontano , e",00725311-v come to one's mind; suggest itself,Italian,verb
TEA2_LMED_RAPGP_1,conviene,convenire,"siam restati sanza capo o guida : l' imperio a questo modo non sta bene : il popol rugghia , e tutto el mondo grida . Far nuovo successor presto conviene . Se c ' è tra noi alcun che si confida trovare a chi lo imperio s ' appartiene , presto lo dica , ed in sedia sia messo .",02674167-v be appropriate or necessary,Italian,verb
POE5_GOZ_POSP00_1,percorso,percorrere,"bestiola , sfuggita certo a qualche piccionaia distrutta , deve aver vagato di città in città , stordita dal fragore della strage e dal rombo del cannone . Ed ha percorso non meno di duemila chilometri , prima di riparare , spennata e insanguinata , in Italia . . . ( Settembre 1914  I giornali ) Bene scegliesti l' unico",01850858-v travel upon or across,Italian,verb
LET5_DEAM_OCE00_1,accorrevano,accorrere,"seicento passeggieri , affollati e ritti in coperta , si voltavano vivamente di là donde il suono veniva , con gli occhi spalancati , trattenendo il respiro , e molti accorrevano da quella parte , dando colore di curiosità alla paura , ma col viso brutto , come aspettandosi di veder apparire la prua d ' un colosso che ci venisse",02062918-v move hurridly,Italian,verb
POE3_TAS_MOND00_1,conviensi,convenire,"volge e riede , con tal numero pur lo spazio intiero . Questa figura ha in sè principio e fine , ed a l' eternità , non solo al tempo conviensi , anzi del tempo è quasi un capo : però d ' esser primiera ancor si sdegna , perchè il suo creator scacciata e scura la scompagnò da l' altre",02705783-v accord or comport with,Italian,verb
